id,association1,association2,association3,time_spend,question_id,respondent_id
1,asdas,,,3,1945,1
2,asdasd,,,1,2158,1
3,asdasdas,,,1,1735,1
4,asdasdas,,,1,2424,1
5,adsasd,,,1,103,1
6,ads,,,0,1640,1
7,asdasdasdas,,,1,831,1
8,asdasggas,,,1,1826,1
9,asdasas,,,1,234,1
10,asdasdasgas,,,1,2537,1
11,asasasdas,,,2,53,1
12,aasasfsa,,,3,557,1
13,asdasasf,,,3,2902,1
14,asfasfas,,,1,2613,1
15,gasgasgasg,,,1,780,1
16,asgasgasga,,,1,2144,1
17,asdsadas,,,1,253,1
18,asdassda,,,1,1504,1
19,asdasd,,,1,701,1
20,,,,0,812,1
