4d
5c's
6c's
a bit the
a jay
aa
aapu
aathaa
abalone
abang
abang berg
abang bod
abang body
abang sapau
abc
abit
abit the
absent without official leave
acbc
achar
aci
act ah beng
act ah lian
act baik
act beng
act beng buay beng
act besar
act big
act big buay big
act bijak
act blur
act bodoh
act cantik
act chio
act chio buay chio
act classy
act comel
act cool
act cool buay cool
act cute
act dao
act fierce
act funny
act garang
act gerek
act good
act handsome
act hot
act hot beh hot
act hot buay hot
act jamb
act jambu
act kaya
act ke ai
act ke lian
act kelakar
act kesian
act kiut
act kuai
act lawa
act lian
act lian buay lian
act lomantic
act macho
act marah
act mat
act mat salleh
act minah
act muda
act nice
act pandai
act pelat
act rich buay rich
act sachok
act sad
act sedih
act sek
act seksi
act seksi buay seksi
act sexy
act shuai
act shuai beh shuai
act shuai buay shuai
act sibuk
act silly
act slim
act smart
act smart buay smart
act stupid
act sweet
act sweet buay sweet
act tall
act tall buay tall
act terror
act tough
act yige
act young
action
action bedek
ada udang di balik batu
adoi
afbf
again
agak
agak agak
agak tarik
agakration
agar agar
agaration
ah tong ah seng
ah balling
ah beng
ah bengfied
ah bing ge
ah bu
ah chek
ah chew
ah dou
ah gong
ah huay
ah ka liau
ah kah
ah kah ah chew
ah kah chiew ji
ah kow
ah kua
ah kun
ah lian
ah long
ah long san
ah ma
ah meng
ah mm
ah neh
ah nia
ah pa
ah pek
ah pooi
ah seng
ah sia bu
ah sia kia
ah soh
ah then
ah tiong
ah tiong bu
ah tiong bu de cheese pie jin ho jiak
ah umm
ahbh
ai pee ai chee ai tua liap nee
ai see buay see
ai sui
ai beng buay beng
ai bin
ai gia steady mai
ai jiak zua mai
ai lian buay lian
ai mian zi
ai pee ai chee
ai piak piak mai
ai see
ai sio gan mai
ai swee
ai swee mai mia
ai zai
air batu campur
air jarang
air kendi
air panas suam
air suam
aiseh
aiseh bedah
aiseh dude
aiseh man
aiskrim ah pek
aiskrim uncle
aiyah
aiyoh
aiyoyo
aiyu jelly
ajak ajak ayam
ak kah chiew ji
ak kah liao
akal kolot
akan datang
akasai
akka
alamak
ali baba
ali baba bag
all fart and no shit
alrdy
also boleh
also can
amacam
america born chinese
amin
amma
amoi
an zhua
anak dara tua
aneh
ang moh pai
ang mor nang
ang geh
ang ji gao
ang ki ki
ang kong
ang kong kong
ang kong siao
ang ku kueh
ang moh
ang moh dua ki
ang moh dua liap
ang moh gao
ang pai
ang tao chu loot
ang tao peng
angan angan
angau
anger issue
angin satu badan
angkat
angkat bola
anglophone singaporean
angpow
angwee
anjack
anjing
anneh
anoneh
anpai
anyhow
anyhow bedal
anyhow cakap
anyhow hentam
anyhow rembat
anyhow whack
apa tengok tengok
apam balik
apam manja
apollo chocolate wafer
apollo layer cake
apollo stick wafer
appa
ar ka chi
arbo
arbr
arbuden
ard
ardeh
argable
argly
armed forces
armored regiment
army enlistment
army mate
army personnel
army regular
army specialist
army unit
arnoh
aromatic rice
arrow
asal boleh aja
asal boleh aje
asal boleh bedal
asal boleh hentam
asal boleh ja
asal boleh rembat
asal boleh saja
asal boleh whack
asam
asam masam
asam masam manis
asbs
ask favour
ask for trouble
atas
atas ppl
atbt
attap chee
aunty
autobot
awek
awol
ayam
ayam kampung
ayya
ba alif ba ya
ba zhang
baba malay
baba nyonya
babi
babi poyo
babu singh
bacin
backside itchy
bad acting skill
badan berg
badan kering kontang
baduvaa
bag of balls
baghal
bagus
bahlul
bai fu mei
bai wulong
baik
baik hati
bak chew ang
bak chew tah sai
bak chew tah stamp
bakero
balik
balik kampung
ball game
balls drop
balls shrink
balu
balukoo
bamboo leaf
banana child
banana leaf
bang ball
bangang
bangap
bangga
bangga hati
bangkai
bangla
bangsat
bantai
bantal busuk
banyak cakap
banyak colok
banyak mulut
bao ga liao
bao fa hu
bao sua bao hai
baobei
bapak lu
bapok
barang
barang barang
baru
basic academic learning
basic information
basic military training
basket
basketball court
bat po
batu api
bazir
bbm
bcac
bcc
bcf
beancurd skin
beancurd strip
because the sky is so high the bird shit in your eye
bedal
bedek
bedek kacang
bedok bedok
bee hoon
bee koh
bee see
beef ball
beef floss
beef rendang
beef serunding
beethoven
beh
beh tah han
beh gum
beh hiao
beh hiao bai
beh hoo
beh hoon
beh hoon kia
beh kan
beh kia nang
beh kia nang tu lan
beh kum guan
beh pai
beh paiseh
beh piao
beh song
beh steady
beh steali
beh tank
beh tong
beh yau kin
belah
belakang mari
belanja
belasah
belcube
bell curve god
bend
beng
bengang
bengap
bengfied
bengkok
benglish
bengong
berak
berambus
berangan
berani buat berani tanggung
berat hati
berat mulut
berat sebelah
berat tulang
berbelah bagi
berbual slang
berfoya foya
berhutang budi
bermuka dua
bermuka muka
berterima kasih
beruk
besar hati
besar kepala
betawi laksa
betina
better cover car chng
bgr
bhai
bhai si mi sek
bhai toncet
bhb
biadap
bian tai
bian tai shu shu
bianhae
biar betik
biar betul
big cannon fairy
big mulut
bijak
bika ambon
bila boleh game
bila mahu game
bila nak game
bin ang ang
bin bin
bin chow chow
binget
bingka ambon
biol
bird bird
biscuit piring
bising
biskut batang buruk
biskut dahlia
biskut piring
biskut semperit
biskut telinga gajah
bismillah
bisu
bitter lesson
bk
